A01,disponible,ninguno
A02,disponible,ninguno
A03,disponible,ninguno
A04,disponible,ninguno
A05,disponible,ninguno
A06,disponible,ninguno
A07,disponible,ninguno
A08,disponible,ninguno
A09,disponible,ninguno
A10,disponible,ninguno
B01,1,disponible,ninguno
B01,2,disponible,ninguno
B02,1,disponible,ninguno
B02,2,disponible,ninguno
B03,1,disponible,ninguno
B03,2,disponible,ninguno
B04,1,disponible,ninguno
B04,2,disponible,ninguno
B05,1,disponible,ninguno
B05,2,disponible,ninguno
B06,1,disponible,ninguno
B06,2,disponible,ninguno
B07,1,disponible,ninguno
B07,2,disponible,ninguno
B08,1,disponible,ninguno
B08,2,disponible,ninguno
B09,1,disponible,ninguno
B09,2,disponible,ninguno
B10,1,disponible,ninguno
B10,2,disponible,ninguno
